idmov,fecha,idpoliza,idcuenta,nombre,cargo,abono
121,2022-08-17 20:46:30.0,11,36,'BBVA Azul',0.0,759.0
122,2022-08-17 20:47:57.0,12,17,'BBVA Libretón',0.0,80.0
123,2022-08-17 20:48:42.0,11,25,'Luz El Marqués',223.0,0.0
124,2022-08-17 20:48:56.0,11,71,'Gastos diversos',536.0,0.0
125,2022-08-17 20:49:15.0,12,36,'BBVA Azul',80.0,0.0
126,2022-08-18 09:03:32.0,13,37,'Citi Oro',0.0,1193.44
127,2022-08-18 16:32:19.0,14,37,'Citi Oro',0.0,500.0
128,2022-08-18 16:32:27.0,15,37,'Citi Oro',0.0,1500.0
129,2022-08-18 16:33:29.0,14,75,'Gasolina',500.0,0.0
130,2022-08-18 16:33:47.0,15,46,'Doctorado',1500.0,0.0
131,2022-08-19 12:11:01.0,16,67,'Caja CGV socio',0.0,500.0
132,2022-08-19 12:11:18.0,16,71,'Gastos diversos',500.0,0.0
133,2022-08-21 18:17:48.0,17,37,'Citi Oro',0.0,148.0
134,2022-08-21 18:17:54.0,18,37,'Citi Oro',0.0,98.0
135,2022-08-21 18:20:51.0,17,78,'Medicamentos',148.0,0.0
136,2022-08-21 18:21:04.0,18,71,'Gastos diversos',98.0,0.0
137,2022-08-21 18:24:33.0,13,31,'Comisiones Citi',883.44,0.0
138,2022-08-21 18:24:38.0,13,31,'Comisiones Citi',168.65,0.0
139,2022-08-23 16:29:23.0,19,36,'BBVA Azul',0.0,510.4
140,2022-08-23 16:29:40.0,19,30,'Comisiones BBVA',510.4,0.0
141,2022-08-23 16:31:31.0,13,31,'Comisiones Citi',141.35,0.0
142,2022-08-24 12:20:43.0,20,18,'Citi Perfiles',2500.0,0.0
143,2022-08-24 12:20:48.0,21,18,'Citi Perfiles',0.0,2500.0
144,2022-08-24 12:23:19.0,20,22,'Servicios varios',0.0,2500.0
145,2022-08-24 12:23:33.0,21,17,'BBVA Libretón',2500.0,0.0
146,2022-08-24 12:42:29.0,22,33,'Cetes',0.0,997.87
147,2022-08-24 12:43:00.0,22,17,'BBVA Libretón',997.87,0.0
148,2022-08-24 16:37:45.0,23,17,'BBVA Libretón',510.0,0.0
149,2022-08-24 16:38:21.0,23,30,'Comisiones BBVA',90.0,0.0
150,2022-08-24 16:38:45.0,23,39,'Bancomer Nómina',0.0,600.0
151,2022-08-24 16:42:06.0,24,17,'BBVA Libretón',0.0,4000.0
152,2022-08-24 16:42:25.0,24,24,'Renta El Marqués',4000.0,0.0
153,2022-08-29 11:33:24.0,25,17,'BBVA Libretón',0.0,1.26
154,2022-08-17 11:08:18.0,2,41,'BBVA Renault',0.0,215712.97
155,2022-08-17 11:08:49.0,3,39,'Bancomer Nómina',0.0,27725.22
156,2022-08-17 11:10:32.0,4,33,'Cetes',1029.11,0.0
157,2022-08-17 11:12:12.0,5,32,'Sura Afore',21506.94,0.0
158,2022-08-17 11:14:26.0,6,67,'Caja CGV socio',806.0,0.0
159,2022-08-17 11:15:17.0,7,34,'Cgv Préstamo coche',0.0,23291.13
160,2022-08-17 20:06:41.0,8,17,'BBVA Libretón',1917.72,0.0
161,2022-08-17 20:07:17.0,8,20,'Doctorado',0.0,1917.72
162,2022-08-17 20:08:33.0,9,36,'BBVA Azul',0.0,8000.0
163,2022-08-17 20:09:58.0,9,71,'Gastos diversos',8000.0,0.0
164,2022-08-17 20:11:02.0,10,37,'Citi Oro',0.0,22452.75
165,2022-08-17 20:11:25.0,10,71,'Gastos diversos',22452.75,0.0
166,2022-08-17 20:13:55.0,4,17,'BBVA Libretón',0.0,1029.11
167,2022-08-17 20:23:51.0,5,66,'Aportaciones',0.0,21506.94
168,2022-08-17 20:25:20.0,6,17,'BBVA Libretón',0.0,806.0
169,2022-08-17 20:38:07.0,3,48,'Renault Stepway',27725.22,0.0
170,2022-08-17 20:38:22.0,2,48,'Renault Stepway',215712.97,0.0
171,2022-08-17 20:38:38.0,7,48,'Renault Stepway',23291.13,0.0
172,2022-08-17 20:46:30.0,11,36,'BBVA Azul',0.0,759.0
173,2022-08-17 20:47:57.0,12,17,'BBVA Libretón',0.0,80.0
174,2022-08-17 20:48:42.0,11,25,'Luz El Marqués',223.0,0.0
175,2022-08-17 20:48:56.0,11,71,'Gastos diversos',536.0,0.0
176,2022-08-17 20:49:15.0,12,36,'BBVA Azul',80.0,0.0
177,2022-08-18 09:03:32.0,13,37,'Citi Oro',0.0,1193.44
178,2022-08-18 16:32:19.0,14,37,'Citi Oro',0.0,500.0
179,2022-08-18 16:32:27.0,15,37,'Citi Oro',0.0,1500.0
180,2022-08-18 16:33:29.0,14,75,'Gasolina',500.0,0.0
181,2022-08-18 16:33:47.0,15,46,'Doctorado',1500.0,0.0
182,2022-08-19 12:11:01.0,16,67,'Caja CGV socio',0.0,500.0
183,2022-08-19 12:11:18.0,16,71,'Gastos diversos',500.0,0.0
184,2022-08-21 18:17:48.0,17,37,'Citi Oro',0.0,148.0
185,2022-08-21 18:17:54.0,18,37,'Citi Oro',0.0,98.0
186,2022-08-21 18:20:51.0,17,78,'Medicamentos',148.0,0.0
187,2022-08-21 18:21:04.0,18,71,'Gastos diversos',98.0,0.0
188,2022-08-21 18:24:33.0,13,31,'Comisiones Citi',883.44,0.0
189,2022-08-21 18:24:38.0,13,31,'Comisiones Citi',168.65,0.0
190,2022-08-23 16:29:23.0,19,36,'BBVA Azul',0.0,510.4
191,2022-08-23 16:29:40.0,19,30,'Comisiones BBVA',510.4,0.0
192,2022-08-23 16:31:31.0,13,31,'Comisiones Citi',141.35,0.0
193,2022-08-24 12:20:43.0,20,18,'Citi Perfiles',2500.0,0.0
194,2022-08-24 12:20:48.0,21,18,'Citi Perfiles',0.0,2500.0
195,2022-08-24 12:23:19.0,20,22,'Servicios varios',0.0,2500.0
196,2022-08-24 12:23:33.0,21,17,'BBVA Libretón',2500.0,0.0
197,2022-08-24 12:42:29.0,22,33,'Cetes',0.0,997.87
198,2022-08-24 12:43:00.0,22,17,'BBVA Libretón',997.87,0.0
199,2022-08-24 16:37:45.0,23,17,'BBVA Libretón',510.0,0.0
200,2022-08-24 16:38:21.0,23,30,'Comisiones BBVA',90.0,0.0
201,2022-08-24 16:38:45.0,23,39,'Bancomer Nómina',0.0,600.0
202,2022-08-24 16:42:06.0,24,17,'BBVA Libretón',0.0,4000.0
203,2022-08-24 16:42:25.0,24,24,'Renta El Marqués',4000.0,0.0
204,2022-08-29 11:33:24.0,25,17,'BBVA Libretón',0.0,1.26
205,2022-08-17 11:08:18.0,2,41,'BBVA Renault',0.0,215712.97
206,2022-08-17 11:08:49.0,3,39,'Bancomer Nómina',0.0,27725.22
207,2022-08-17 11:10:32.0,4,33,'Cetes',1029.11,0.0
208,2022-08-17 11:12:12.0,5,32,'Sura Afore',21506.94,0.0
209,2022-08-17 11:14:26.0,6,67,'Caja CGV socio',806.0,0.0
210,2022-08-17 11:15:17.0,7,34,'Cgv Préstamo coche',0.0,23291.13
211,2022-08-17 20:06:41.0,8,17,'BBVA Libretón',1917.72,0.0
212,2022-08-17 20:07:17.0,8,20,'Doctorado',0.0,1917.72
213,2022-08-17 20:08:33.0,9,36,'BBVA Azul',0.0,8000.0
214,2022-08-17 20:09:58.0,9,71,'Gastos diversos',8000.0,0.0
215,2022-08-17 20:11:02.0,10,37,'Citi Oro',0.0,22452.75
216,2022-08-17 20:11:25.0,10,71,'Gastos diversos',22452.75,0.0
217,2022-08-17 20:13:55.0,4,17,'BBVA Libretón',0.0,1029.11
218,2022-08-17 20:23:51.0,5,66,'Aportaciones',0.0,21506.94
219,2022-08-17 20:25:20.0,6,17,'BBVA Libretón',0.0,806.0
220,2022-08-17 20:38:07.0,3,48,'Renault Stepway',27725.22,0.0
221,2022-08-17 20:38:22.0,2,48,'Renault Stepway',215712.97,0.0
222,2022-08-17 20:38:38.0,7,48,'Renault Stepway',23291.13,0.0
223,2022-08-17 20:46:30.0,11,36,'BBVA Azul',0.0,759.0
224,2022-08-17 20:47:57.0,12,17,'BBVA Libretón',0.0,80.0
225,2022-08-17 20:48:42.0,11,25,'Luz El Marqués',223.0,0.0
226,2022-08-17 20:48:56.0,11,71,'Gastos diversos',536.0,0.0
227,2022-08-17 20:49:15.0,12,36,'BBVA Azul',80.0,0.0
228,2022-08-18 09:03:32.0,13,37,'Citi Oro',0.0,1193.44
229,2022-08-18 16:32:19.0,14,37,'Citi Oro',0.0,500.0
230,2022-08-18 16:32:27.0,15,37,'Citi Oro',0.0,1500.0
231,2022-08-18 16:33:29.0,14,75,'Gasolina',500.0,0.0
232,2022-08-18 16:33:47.0,15,46,'Doctorado',1500.0,0.0
233,2022-08-19 12:11:01.0,16,67,'Caja CGV socio',0.0,500.0
234,2022-08-19 12:11:18.0,16,71,'Gastos diversos',500.0,0.0
235,2022-08-21 18:17:48.0,17,37,'Citi Oro',0.0,148.0
236,2022-08-21 18:17:54.0,18,37,'Citi Oro',0.0,98.0
237,2022-08-21 18:20:51.0,17,78,'Medicamentos',148.0,0.0
238,2022-08-21 18:21:04.0,18,71,'Gastos diversos',98.0,0.0
239,2022-08-21 18:24:33.0,13,31,'Comisiones Citi',883.44,0.0
240,2022-08-21 18:24:38.0,13,31,'Comisiones Citi',168.65,0.0
241,2022-08-23 16:29:23.0,19,36,'BBVA Azul',0.0,510.4
242,2022-08-23 16:29:40.0,19,30,'Comisiones BBVA',510.4,0.0
243,2022-08-23 16:31:31.0,13,31,'Comisiones Citi',141.35,0.0
244,2022-08-24 12:20:43.0,20,18,'Citi Perfiles',2500.0,0.0
245,2022-08-24 12:20:48.0,21,18,'Citi Perfiles',0.0,2500.0
246,2022-08-24 12:23:19.0,20,22,'Servicios varios',0.0,2500.0
247,2022-08-24 12:23:33.0,21,17,'BBVA Libretón',2500.0,0.0
248,2022-08-24 12:42:29.0,22,33,'Cetes',0.0,997.87
249,2022-08-24 12:43:00.0,22,17,'BBVA Libretón',997.87,0.0
250,2022-08-24 16:37:45.0,23,17,'BBVA Libretón',510.0,0.0
251,2022-08-24 16:38:21.0,23,30,'Comisiones BBVA',90.0,0.0
252,2022-08-24 16:38:45.0,23,39,'Bancomer Nómina',0.0,600.0
253,2022-08-24 16:42:06.0,24,17,'BBVA Libretón',0.0,4000.0
254,2022-08-24 16:42:25.0,24,24,'Renta El Marqués',4000.0,0.0
255,2022-08-29 11:33:24.0,25,17,'BBVA Libretón',0.0,1.26
256,2022-08-17 11:08:18.0,2,41,'BBVA Renault',0.0,215712.97
257,2022-08-17 11:08:49.0,3,39,'Bancomer Nómina',0.0,27725.22
258,2022-08-17 11:10:32.0,4,33,'Cetes',1029.11,0.0
259,2022-08-17 11:12:12.0,5,32,'Sura Afore',21506.94,0.0
260,2022-08-17 11:14:26.0,6,67,'Caja CGV socio',806.0,0.0
261,2022-08-17 11:15:17.0,7,34,'Cgv Préstamo coche',0.0,23291.13
262,2022-08-17 20:06:41.0,8,17,'BBVA Libretón',1917.72,0.0
263,2022-08-17 20:07:17.0,8,20,'Doctorado',0.0,1917.72
264,2022-08-17 20:08:33.0,9,36,'BBVA Azul',0.0,8000.0
265,2022-08-17 20:09:58.0,9,71,'Gastos diversos',8000.0,0.0
266,2022-08-17 20:11:02.0,10,37,'Citi Oro',0.0,22452.75
267,2022-08-17 20:11:25.0,10,71,'Gastos diversos',22452.75,0.0
268,2022-08-17 20:13:55.0,4,17,'BBVA Libretón',0.0,1029.11
269,2022-08-17 20:23:51.0,5,66,'Aportaciones',0.0,21506.94
270,2022-08-17 20:25:20.0,6,17,'BBVA Libretón',0.0,806.0
271,2022-08-17 20:38:07.0,3,48,'Renault Stepway',27725.22,0.0
272,2022-08-17 20:38:22.0,2,48,'Renault Stepway',215712.97,0.0
273,2022-08-17 20:38:38.0,7,48,'Renault Stepway',23291.13,0.0
274,2022-08-17 20:46:30.0,11,36,'BBVA Azul',0.0,759.0
275,2022-08-17 20:47:57.0,12,17,'BBVA Libretón',0.0,80.0
276,2022-08-17 20:48:42.0,11,25,'Luz El Marqués',223.0,0.0
277,2022-08-17 20:48:56.0,11,71,'Gastos diversos',536.0,0.0
278,2022-08-17 20:49:15.0,12,36,'BBVA Azul',80.0,0.0
279,2022-08-18 09:03:32.0,13,37,'Citi Oro',0.0,1193.44
280,2022-08-18 16:32:19.0,14,37,'Citi Oro',0.0,500.0
281,2022-08-18 16:32:27.0,15,37,'Citi Oro',0.0,1500.0
282,2022-08-18 16:33:29.0,14,75,'Gasolina',500.0,0.0
283,2022-08-18 16:33:47.0,15,46,'Doctorado',1500.0,0.0
284,2022-08-19 12:11:01.0,16,67,'Caja CGV socio',0.0,500.0
285,2022-08-19 12:11:18.0,16,71,'Gastos diversos',500.0,0.0
286,2022-08-21 18:17:48.0,17,37,'Citi Oro',0.0,148.0
287,2022-08-21 18:17:54.0,18,37,'Citi Oro',0.0,98.0
288,2022-08-21 18:20:51.0,17,78,'Medicamentos',148.0,0.0
289,2022-08-21 18:21:04.0,18,71,'Gastos diversos',98.0,0.0
290,2022-08-21 18:24:33.0,13,31,'Comisiones Citi',883.44,0.0
291,2022-08-21 18:24:38.0,13,31,'Comisiones Citi',168.65,0.0
292,2022-08-23 16:29:23.0,19,36,'BBVA Azul',0.0,510.4
293,2022-08-23 16:29:40.0,19,30,'Comisiones BBVA',510.4,0.0
294,2022-08-23 16:31:31.0,13,31,'Comisiones Citi',141.35,0.0
295,2022-08-24 12:20:43.0,20,18,'Citi Perfiles',2500.0,0.0
296,2022-08-24 12:20:48.0,21,18,'Citi Perfiles',0.0,2500.0
297,2022-08-24 12:23:19.0,20,22,'Servicios varios',0.0,2500.0
298,2022-08-24 12:23:33.0,21,17,'BBVA Libretón',2500.0,0.0
299,2022-08-24 12:42:29.0,22,33,'Cetes',0.0,997.87
300,2022-08-24 12:43:00.0,22,17,'BBVA Libretón',997.87,0.0
301,2022-08-24 16:37:45.0,23,17,'BBVA Libretón',510.0,0.0
302,2022-08-24 16:38:21.0,23,30,'Comisiones BBVA',90.0,0.0
303,2022-08-24 16:38:45.0,23,39,'Bancomer Nómina',0.0,600.0
304,2022-08-24 16:42:06.0,24,17,'BBVA Libretón',0.0,4000.0
305,2022-08-24 16:42:25.0,24,24,'Renta El Marqués',4000.0,0.0
306,2022-08-29 11:33:24.0,25,17,'BBVA Libretón',0.0,1.26
307,2022-08-17 11:08:18.0,2,41,'BBVA Renault',0.0,215712.97
308,2022-08-17 11:08:49.0,3,39,'Bancomer Nómina',0.0,27725.22
309,2022-08-17 11:10:32.0,4,33,'Cetes',1029.11,0.0
310,2022-08-17 11:12:12.0,5,32,'Sura Afore',21506.94,0.0
311,2022-08-17 11:14:26.0,6,67,'Caja CGV socio',806.0,0.0
312,2022-08-17 11:15:17.0,7,34,'Cgv Préstamo coche',0.0,23291.13
313,2022-08-17 20:06:41.0,8,17,'BBVA Libretón',1917.72,0.0
314,2022-08-17 20:07:17.0,8,20,'Doctorado',0.0,1917.72
315,2022-08-17 20:08:33.0,9,36,'BBVA Azul',0.0,8000.0
316,2022-08-17 20:09:58.0,9,71,'Gastos diversos',8000.0,0.0
317,2022-08-17 20:11:02.0,10,37,'Citi Oro',0.0,22452.75
318,2022-08-17 20:11:25.0,10,71,'Gastos diversos',22452.75,0.0
319,2022-08-17 20:13:55.0,4,17,'BBVA Libretón',0.0,1029.11
320,2022-08-17 20:23:51.0,5,66,'Aportaciones',0.0,21506.94
321,2022-08-17 20:25:20.0,6,17,'BBVA Libretón',0.0,806.0
322,2022-08-17 20:38:07.0,3,48,'Renault Stepway',27725.22,0.0
323,2022-08-17 20:38:22.0,2,48,'Renault Stepway',215712.97,0.0
324,2022-08-17 20:38:38.0,7,48,'Renault Stepway',23291.13,0.0
325,2022-08-17 20:46:30.0,11,36,'BBVA Azul',0.0,759.0
326,2022-08-17 20:47:57.0,12,17,'BBVA Libretón',0.0,80.0
327,2022-08-17 20:48:42.0,11,25,'Luz El Marqués',223.0,0.0
328,2022-08-17 20:48:56.0,11,71,'Gastos diversos',536.0,0.0
329,2022-08-17 20:49:15.0,12,36,'BBVA Azul',80.0,0.0
330,2022-08-18 09:03:32.0,13,37,'Citi Oro',0.0,1193.44
331,2022-08-18 16:32:19.0,14,37,'Citi Oro',0.0,500.0
332,2022-08-18 16:32:27.0,15,37,'Citi Oro',0.0,1500.0
333,2022-08-18 16:33:29.0,14,75,'Gasolina',500.0,0.0
334,2022-08-18 16:33:47.0,15,46,'Doctorado',1500.0,0.0
335,2022-08-19 12:11:01.0,16,67,'Caja CGV socio',0.0,500.0
336,2022-08-19 12:11:18.0,16,71,'Gastos diversos',500.0,0.0
337,2022-08-21 18:17:48.0,17,37,'Citi Oro',0.0,148.0
338,2022-08-21 18:17:54.0,18,37,'Citi Oro',0.0,98.0
339,2022-08-21 18:20:51.0,17,78,'Medicamentos',148.0,0.0
340,2022-08-21 18:21:04.0,18,71,'Gastos diversos',98.0,0.0
341,2022-08-21 18:24:33.0,13,31,'Comisiones Citi',883.44,0.0
342,2022-08-21 18:24:38.0,13,31,'Comisiones Citi',168.65,0.0
343,2022-08-23 16:29:23.0,19,36,'BBVA Azul',0.0,510.4
344,2022-08-23 16:29:40.0,19,30,'Comisiones BBVA',510.4,0.0
345,2022-08-23 16:31:31.0,13,31,'Comisiones Citi',141.35,0.0
346,2022-08-24 12:20:43.0,20,18,'Citi Perfiles',2500.0,0.0
347,2022-08-24 12:20:48.0,21,18,'Citi Perfiles',0.0,2500.0
348,2022-08-24 12:23:19.0,20,22,'Servicios varios',0.0,2500.0
349,2022-08-24 12:23:33.0,21,17,'BBVA Libretón',2500.0,0.0
350,2022-08-24 12:42:29.0,22,33,'Cetes',0.0,997.87
351,2022-08-24 12:43:00.0,22,17,'BBVA Libretón',997.87,0.0
352,2022-08-24 16:37:45.0,23,17,'BBVA Libretón',510.0,0.0
353,2022-08-24 16:38:21.0,23,30,'Comisiones BBVA',90.0,0.0
354,2022-08-24 16:38:45.0,23,39,'Bancomer Nómina',0.0,600.0
355,2022-08-24 16:42:06.0,24,17,'BBVA Libretón',0.0,4000.0
356,2022-08-24 16:42:25.0,24,24,'Renta El Marqués',4000.0,0.0
357,2022-08-29 11:33:24.0,25,17,'BBVA Libretón',0.0,1.26
358,2022-08-17 11:08:18.0,2,41,'BBVA Renault',0.0,215712.97
359,2022-08-17 11:08:49.0,3,39,'Bancomer Nómina',0.0,27725.22
360,2022-08-17 11:10:32.0,4,33,'Cetes',1029.11,0.0
